Filename,Mean Brightness,Std Brightness,Max Brightness,Min Brightness,Hue Hist Feature 1,Hue Hist Feature 2,Hue Std,Contrast,Mean Saturation,Std Saturation,Max Saturation,Min Saturation,SIFT Features,Texture Contrast,Texture Dissimilarity,Texture Homogeneity,Texture Energy,Texture Correlation,Texture ASM,Excess Green Index,Excess Red Index,CIVE,ExG-ExR Ratio,CIVE Ratio
frame_453.jpg,161.553,17.588,246.0,91.0,14,409.000,12.653,0.071,75.431,20.308,142.0,0.0,589,0.18776755136986292,0.18272229696673187,0.9091433769569475,0.4654638233595347,0.9147464235283457,0.2166565708564761,82,29.19999999999999,-11.813550000000014,0.9603233337402344,0.9309158325195312
frame_454.jpg,162.027,19.100,247.0,57.0,16,163.000,16.259,0.091,66.627,18.739,179.0,0.0,1002,0.24752706090998033,0.22584775562622297,0.8892370379230454,0.44316129070237964,0.9071037392606279,0.19639192957699905,48,44.79999999999998,1.9034499999999852,0.9497871398925781,0.8991737365722656
frame_455.jpg,164.762,18.212,246.0,72.0,12,167.000,15.803,0.088,61.882,17.010,148.0,0.0,659,0.20292624755381605,0.1949302837573385,0.9033247417117531,0.4401611057451596,0.9181605527789208,0.19374179901080155,49,45.39999999999998,1.5444500000000048,0.9408836364746094,0.8912353515625
frame_456.jpg,164.528,18.797,246.0,87.0,12,115.000,14.635,0.082,58.287,17.171,126.0,0.0,906,0.23806338674168281,0.22431889065557717,0.8892139250820187,0.4138632503776563,0.9130396431108336,0.17128279001315863,41,64.79999999999995,5.362449999999988,0.912109375,0.8398323059082031
frame_457.jpg,154.045,19.545,246.0,76.0,15,226.000,14.236,0.080,61.803,18.841,255.0,0.0,928,0.25783161081213307,0.24204607999021516,0.8805168275498011,0.4173287098689662,0.9122314995657016,0.17416325208089575,68,20.19999999999999,-6.750550000000011,0.9270858764648438,0.8464431762695312
frame_458.jpg,149.686,21.229,243.0,48.0,14,404.000,12.038,0.067,68.805,21.083,137.0,0.0,1115,0.2791478106653619,0.2577284124266143,0.8732761148123629,0.39029707872031116,0.9162800085269865,0.15233180965760876,79,10.199999999999989,-11.388549999999988,0.9487953186035156,0.8812179565429688
frame_459.jpg,148.577,20.581,245.0,53.0,14,219.000,13.156,0.073,67.869,21.701,149.0,0.0,1026,0.2676163466242661,0.2492623226516633,0.8772037014720266,0.4013726501835709,0.9142336315257227,0.16110000431538316,71,13.599999999999994,-8.15655000000001,0.936309814453125,0.8577346801757812
frame_460.jpg,149.098,20.329,248.0,61.0,15,437.000,15.809,0.088,66.193,22.491,255.0,0.0,848,0.2549611668297455,0.23850293542074358,0.882394355430528,0.4140290180935933,0.9140589371843374,0.171420027823545,65,30.799999999999983,-5.187550000000009,0.898468017578125,0.8097915649414062
frame_461.jpg,157.708,19.850,249.0,93.0,14,456.000,16.440,0.092,63.626,21.210,131.0,0.0,818,0.24126635885518585,0.22708613625244617,0.8878749541340507,0.4232195499044089,0.9144878622603047,0.17911478742129044,71,28.0,-7.6165499999999895,0.8857421875,0.8125419616699219
frame_462.jpg,158.299,20.501,248.0,94.0,14,384.000,20.292,0.113,60.623,22.737,128.0,0.0,807,0.2499159124266144,0.23455081947162426,0.884260020360884,0.40465811970695137,0.9159212270476158,0.16374819384476538,68,23.799999999999983,-6.608550000000015,0.8781280517578125,0.7738761901855469
